1	210	140	260	120	730	00:25:00	4	1	100
2	270	180	335	155	940	00:32:50	2	1	110
3	345	230	425	195	1195	00:41:40	2	2	120
4	440	295	545	250	1530	00:52:10	2	2	140
5	565	375	700	320	1960	01:04:20	2	2	150
6	720	480	895	410	2505	01:18:20	3	3	170
7	925	615	1145	530	3215	01:34:30	3	4	190
8	1180	790	1465	675	4110	01:53:30	3	4	210
9	1515	1010	1875	865	5265	02:15:20	3	5	230
10	1935	1290	2400	1105	6730	02:40:50	3	6	260
11	2480	1655	3070	1415	8620	03:10:10	3	7	290
12	3175	2115	3930	1815	11035	03:44:30	3	9	320
13	4060	2710	5030	2320	14120	04:24:10	3	11	250
14	5200	3465	6435	2970	18070	05:10:10	3	13	390
15	6655	4435	8240	3805	23135	06:03:30	3	15	440
16	8520	5680	10545	4870	29615	07:05:20	4	18	490
17	10905	7270	13500	6230	37905	08:17:10	4	22	540
18	13955	9305	17280	7975	48515	09:40:30	4	27	600
19	17865	11910	22120	10210	62105	11:17:10	4	32	670
20	22865	15245	28310	13065	79485	13:09:10	4	38	740
