1	70	90	70	20	250	00:01:50	0	1	7
2	115	150	115	35	415	00:05:30	0	1	13
3	195	250	195	55	695	00:11:20	0	2	21
4	325	420	325	95	1165	00:20:30	0	2	31
5	545	700	545	155	1945	00:35:30	0	2	46
6	910	1170	910	260	3250	00:59:10	1	3	70
7	1520	1950	1520	435	5425	01:37:10	1	4	98
8	2535	3260	2535	725	9055	02:38:00	1	4	140
9	4235	5445	4235	1210	15125	04:15:20	1	5	203
10	7070	9095	7070	2020	25255	06:51:00	1	6	280
11	11810	15185	11810	3375	42180	11:00:10	1	7	392
12	19725	25360	19725	5635	70445	17:38:40	1	9	525
13	32940	42350	32940	9410	117640	28:16:20	1	11	693
14	55005	70720	55005	15715	196445	45:16:50	1	13	889
15	91860	118105	91860	26245	328070	72:29:20	1	15	1120
16	153405	197240	153405	43830	547880	116:01:20	2	18	1400
17	256190	329385	256190	73195	914960	185:40:40	2	22	1820
18	427835	550075	427835	122240	1527985	297:07:40	2	27	2240
19	714485	918625	714485	204140	2551735	475:26:50	2	32	2800
20	1193195	1534105	1193195	340915	4261410	760:45:20	2	38	3430
21	1992635	2561960	1992635	569325	7116555	1217:15:10	2	46	4270
