1	180	130	150	80	540	00:25:00	3	5	0
2	230	165	190	100	685	00:32:50	2	6	0
3	295	215	245	130	885	00:41:40	2	7	9
4	375	275	315	170	1135	00:52:10	2	8	12
5	485	350	405	215	1455	01:04:20	2	10	15
6	620	445	515	275	1855	01:18:20	2	12	18
7	790	570	660	350	2370	01:34:30	2	14	21
8	1015	730	845	450	3040	01:53:30	2	17	24
9	1295	935	1080	575	3885	02:15:20	2	21	27
10	1660	1200	1385	740	4985	02:40:50	2	25	30
11	2125	1535	1770	945	6375	03:10:10	3	30	33
12	2720	1965	2265	1210	8160	03:44:30	3	36	36
13	3480	2515	2900	1545	10440	04:24:10	3	43	39
14	4455	3220	3715	1980	13370	05:10:10	3	51	42
15	5705	4120	4755	2535	17115	06:03:30	3	62	45
16	7300	5275	6085	3245	21905	07:05:20	3	74	48
17	9345	6750	7790	4155	28040	08:17:10	3	89	51
18	11965	8640	9970	5315	35890	09:40:30	3	106	54
19	15315	11060	12760	6805	45940	11:17:10	3	128	57
20	19600	14155	16335	8710	58800	13:09:10	3	153	60
