1	80	100	70	20	270	00:20:00	1	1	1200
2	100	130	90	25	345	00:27:00	1	1	1700
3	130	165	115	35	445	00:35:00	1	2	2300
4	170	210	145	40	565	00:44:20	1	2	3100
5	215	270	190	55	730	00:55:10	1	2	4000
6	275	345	240	70	930	01:07:50	1	3	5000
7	350	440	310	90	1190	01:22:20	1	4	6300
8	450	565	395	115	1525	01:39:20	1	4	7800
9	575	720	505	145	1945	01:59:00	1	5	9600
10	740	920	645	185	2490	02:21:50	1	6	11800
11	945	1180	825	235	3185	02:48:10	2	7	14400
12	1210	1510	1060	300	4080	03:18:50	2	9	17600
13	1545	1935	1355	385	5220	03:54:20	2	11	21400
14	1980	2475	1735	495	6685	04:35:40	2	13	25900
15	2535	3170	2220	635	8560	05:23:30	2	15	31300
16	3245	4055	2840	810	10950	06:19:00	2	18	37900
17	4155	5190	3635	1040	14020	07:23:30	2	22	45700
18	5315	6645	4650	1330	17940	08:38:10	2	27	55100
19	6805	8505	5955	1700	22965	10:04:50	2	32	66400
20	8710	10890	7620	2180	29400	11:45:20	2	38	80000
