1	100	80	30	60	270	00:05:40	3	1	7
2	165	135	50	100	450	00:11:30	2	1	13
3	280	225	85	165	755	00:20:50	2	2	21
4	465	375	140	280	1260	00:36:00	2	2	31
5	780	620	235	465	2100	01:00:00	2	2	46
6	1300	1040	390	780	3510	01:38:30	2	3	70
7	2170	1735	650	1300	5855	02:40:10	2	4	98
8	3625	2900	1085	2175	9785	04:18:40	2	4	140
9	6050	4840	1815	3630	16335	06:56:20	2	5	203
10	10105	8080	3030	6060	27275	11:08:40	2	6	280
11	16870	13500	5060	10125	45555	17:52:30	3	7	392
12	28175	22540	8455	16905	76075	28:38:20	3	9	525
13	47055	37645	14115	28230	127045	45:52:00	3	11	693
14	78580	62865	23575	47150	212170	73:25:40	3	13	889
15	131230	104985	39370	78740	354325	117:31:30	3	15	1120
16	219155	175320	65745	131490	591710	188:04:50	3	18	1400
17	365985	292790	109795	219590	988160	300:58:20	3	22	1820
18	611195	488955	183360	366715	1650225	481:35:40	3	27	2240
19	1020695	816555	306210	612420	2755880	770:35:40	3	32	2800
20	1704565	1363650	511370	1022740	4602325	1232:59:30	3	38	3430
