1	70	40	60	20	190	00:31:20	2	2	100		
2	90	50	75	25	240	00:32:50	1	3	96		
3	115	65	100	35	315	00:40:10	1	3	93		
4	145	85	125	40	395	00:48:30	1	4	90		
5	190	105	160	55	510	00:57:30	1	5	86		
6	240	135	205	70	650	01:07:40	2	6	83		
7	310	175	265	90	840	01:18:40	2	7	80		
8	395	225	340	115	1075	01:31:00	2	9	77		
9	505	290	430	145	1370	01:44:40	2	10	75		
10	645	370	555	185	1755	01:59:50	2	12	72		
11	825	470	710	235	2240	02:16:50	2	15	69		
12	1060	605	905	300	2870	02:35:30	2	18	67		
13	1355	775	1160	385	3675	02:56:30	2	21	64		
14	1735	990	1485	495	4705	03:19:40	2	26	62		
15	2220	1270	1900	635	6025	03:45:40	2	31	60		
16	2840	1625	2435	810	7710	04:14:40	3	37	58		
17	3635	2075	3115	1040	9865	04:46:50	3	44	56		
18	4650	2660	3990	1330	12630	05:22:50	3	53	54		
19	5955	3405	5105	1700	16165	06:03:00	3	64	52		
20	7620	4355	6535	2180	20690	06:47:50	3	77	50		
