1	80	70	120	70	340	00:22:30	4	4	1
2	100	90	155	90	435	00:29:50	2	4	2
3	130	115	195	115	555	00:38:20	2	5	3
4	170	145	250	145	710	00:48:20	2	6	4
5	215	190	320	190	915	00:59:40	2	7	5
6	275	240	410	240	1165	01:13:00	3	9	6
7	350	310	530	310	1500	01:28:30	3	11	7
8	450	395	675	395	1915	01:46:20	3	13	8
9	575	505	865	505	2450	02:07:10	3	15	9
10	740	645	1105	645	3135	02:31:20	3	19	10
11	945	825	1415	825	4010	02:59:10	3	22	11
12	1210	1060	1815	1060	5145	03:31:40	3	27	12
13	1545	1355	2320	1355	6575	04:09:10	3	32	13
14	1980	1735	2970	1735	8420	04:52:50	3	39	14
15	2535	2220	3805	2220	10780	05:43:30	3	46	15
16	3245	2840	4870	2840	13795	06:42:10	4	55	16
17	4155	3635	6230	3635	17655	07:50:20	4	67	17
18	5315	4650	7975	4650	22590	09:09:20	4	80	18
19	6805	5955	10210	5955	28925	10:41:00	4	96	19
20	8710	7620	13065	7620	37015	12:27:10	4	115	20
