1	180	250	500	160	1090	00:25:00	4	2	1
2	230	320	640	205	1395	00:32:50	2	3	2
3	295	410	820	260	1785	00:41:40	2	3	3
4	375	525	1050	335	2285	00:52:10	2	4	4
5	485	670	1340	430	2925	01:04:20	2	5	5
6	620	860	1720	550	3750	01:18:20	3	6	6
7	790	1100	2200	705	4795	01:34:30	3	7	7
8	1015	1405	2815	900	6135	01:53:30	3	9	8
9	1295	1800	3605	1155	7855	02:15:20	3	10	9
10	1660	2305	4610	1475	10050	02:40:50	3	12	10
11	2125	2950	5905	1890	12870	03:10:10	3	15	11
12	2720	3780	7555	2420	16475	03:44:30	3	18	12
13	3480	4835	9670	3095	21080	04:24:10	3	21	13
14	4455	6190	12380	3960	26985	05:10:10	3	26	14
15	5705	7925	15845	5070	34545	06:03:30	3	31	15
16	7300	10140	20280	6490	44210	07:05:20	4	37	16
17	9345	12980	25960	8310	56595	08:17:10	4	44	17
18	11965	16615	33230	10635	72445	09:40:30	4	53	18
19	15315	21270	42535	13610	92730	11:17:10	4	64	19
20	19600	27225	54445	17420	118690	13:09:10	4	77	20
