1	260	140	220	100	720	0:36:40	5	2	1.0x
2	335	180	280	130	925	0:47:30	3	3	1.1x
3	425	230	360	165	1180	1:00:10	3	3	1.2x
4	545	295	460	210	1510	1:14:50	3	4	1.4x
5	700	375	590	270	1935	1:31:40	3	5	1.5x
6	895	480	755	345	2475	1:51:20	3	6	1.7x
7	1145	615	970	440	3170	2:14:10	3	7	1.9x
8	1465	790	1240	565	4060	2:40:40	3	9	2.1x
9	1875	1010	1585	720	5190	3:11:20	3	10	2.3x
10	2400	1290	2030	920	6640	3:47:00	3	12	2.6x
11	3070	1655	2595	1180	8500	4:28:20	4	15	2.9x
12	3930	2115	3325	1510	10880	5:16:20	4	18	3.2x
13	5030	2710	4255	1935	13930	6:11:50	4	21	3.5x
14	6435	3465	5445	2475	17820	7:16:20	4	26	3.9x
15	8240	4435	6970	3170	22815	8:31:10	4	31	4.4x
16	10545	5680	8925	4055	29205	9:58:00	4	37	4.9x
17	13500	7270	11425	5190	37385	11:38:40	4	44	5.4x
18	17280	9305	14620	6645	47850	13:35:30	4	53	6.0x
19	22120	11910	18715	8505	61250	15:51:00	4	64	6.7x
20	28310	15245	23955	10890	78400	18:28:10	4	77	7.4x
