1	1250	1110	1260	600	4220	02:36:20	4	6
2	1600	1420	1615	770	5405	03:05:00	2	7
3	2050	1820	2065	985	6920	03:38:20	2	9
4	2620	2330	2640	1260	8850	04:17:00	2	10
5	3355	2980	3380	1610	11325	05:01:50	2	12
6	4295	3815	4330	2060	14500	05:54:00	3	15
7	5500	4880	5540	2640	18560	06:54:20	3	18
8	7035	6250	7095	3380	23760	08:04:20	3	21
9	9005	8000	9080	4325	30410	09:25:40	3	26
10	11530	10240	11620	5535	38925	10:59:50	3	31
11	14755	13105	14875	7085	49820	12:49:10	3	37
12	18890	16775	19040	9065	63770	14:56:00	3	45
13	24180	21470	24370	11605	81625	17:23:10	3	53
14	30950	27480	31195	14855	104480	20:13:50	3	64
15	39615	35175	39930	19015	133735	23:31:50	3	77
16	50705	45025	51110	24340	171180	27:21:30	4	92
17	64905	57635	65425	31155	219120	31:47:50	4	111
18	83075	73770	83740	39875	280460	36:56:50	4	133
19	106340	94430	107190	51040	359000	42:55:20	4	160
20	136115	120870	137200	65335	459520	49:51:10	4	192
