1	130	160	90	40	420	00:25:00	1	1	1200
2	165	205	115	50	535	00:32:50	1	1	1700
3	215	260	145	65	685	00:41:40	1	2	2300
4	275	335	190	85	885	00:52:10	1	2	3100
5	350	430	240	105	1125	01:04:20	1	2	4000
6	445	550	310	135	1440	01:18:20	1	3	5000
7	570	705	395	175	1845	01:34:30	1	4	6300
8	730	900	505	225	2360	01:53:30	1	4	7800
9	935	1155	650	290	3030	02:15:20	1	5	9600
10	1200	1475	830	370	3875	02:40:50	1	6	11800
11	1535	1890	1065	470	4960	03:10:10	2	7	14400
12	1965	2420	1360	605	6350	03:44:30	2	9	17600
13	2515	3095	1740	775	8125	04:24:10	2	11	21400
14	3220	3960	2230	990	10400	05:10:10	2	13	25900
15	4120	5070	2850	1270	13310	06:03:30	2	15	31300
16	5275	6490	3650	1625	17040	07:05:20	2	18	37900
17	6750	8310	4675	2075	21810	08:17:10	2	22	45700
18	8640	10635	5980	2660	27915	09:40:30	2	27	55100
19	11060	13610	7655	3405	35730	11:17:10	2	32	66400
20	14155	17420	9800	4355	45730	13:09:10	2	38	80000
